top - 18:08:20 up 25 min,  1 user,  load average: 0,10, 0,25, 0,45
top - 18:08:21 up 25 min,  1 user,  load average: 0,10, 0,25, 0,45
top - 18:08:22 up 25 min,  1 user,  load average: 0,10, 0,25, 0,45
top - 18:08:23 up 25 min,  1 user,  load average: 0,10, 0,25, 0,45
top - 18:08:24 up 25 min,  1 user,  load average: 0,09, 0,24, 0,45
top - 18:08:25 up 25 min,  1 user,  load average: 0,09, 0,24, 0,45
top - 18:08:26 up 25 min,  1 user,  load average: 0,09, 0,24, 0,45
top - 18:08:27 up 25 min,  1 user,  load average: 0,09, 0,24, 0,45
top - 18:08:28 up 25 min,  1 user,  load average: 0,09, 0,24, 0,45
top - 18:08:29 up 25 min,  1 user,  load average: 0,16, 0,26, 0,45
top - 18:08:30 up 25 min,  1 user,  load average: 0,16, 0,26, 0,45
top - 18:08:31 up 25 min,  1 user,  load average: 0,16, 0,26, 0,45
top - 18:08:32 up 25 min,  1 user,  load average: 0,16, 0,26, 0,45
top - 18:08:33 up 25 min,  1 user,  load average: 0,16, 0,26, 0,45
top - 18:08:34 up 25 min,  1 user,  load average: 0,15, 0,25, 0,45
top - 18:08:35 up 25 min,  1 user,  load average: 0,15, 0,25, 0,45
top - 18:08:36 up 25 min,  1 user,  load average: 0,15, 0,25, 0,45
top - 18:08:37 up 25 min,  1 user,  load average: 0,15, 0,25, 0,45
top - 18:08:38 up 25 min,  1 user,  load average: 0,15, 0,25, 0,45
top - 18:08:39 up 25 min,  1 user,  load average: 0,14, 0,25, 0,45
top - 18:08:40 up 25 min,  1 user,  load average: 0,14, 0,25, 0,45
top - 18:08:41 up 25 min,  1 user,  load average: 0,14, 0,25, 0,45
top - 18:08:42 up 25 min,  1 user,  load average: 0,14, 0,25, 0,45
top - 18:08:43 up 25 min,  1 user,  load average: 0,14, 0,25, 0,45
top - 18:08:44 up 25 min,  1 user,  load average: 0,13, 0,24, 0,44
top - 18:08:45 up 25 min,  1 user,  load average: 0,13, 0,24, 0,44
top - 18:08:46 up 25 min,  1 user,  load average: 0,13, 0,24, 0,44
top - 18:08:47 up 25 min,  1 user,  load average: 0,13, 0,24, 0,44
top - 18:08:48 up 25 min,  1 user,  load average: 0,13, 0,24, 0,44
top - 18:08:49 up 25 min,  1 user,  load average: 0,12, 0,24, 0,44
top - 18:08:50 up 25 min,  1 user,  load average: 0,12, 0,24, 0,44
top - 18:08:51 up 25 min,  1 user,  load average: 0,12, 0,24, 0,44
top - 18:08:52 up 25 min,  1 user,  load average: 0,12, 0,24, 0,44
top - 18:08:53 up 25 min,  1 user,  load average: 0,12, 0,24, 0,44
top - 18:08:54 up 25 min,  1 user,  load average: 0,11, 0,23, 0,44
top - 18:08:55 up 25 min,  1 user,  load average: 0,11, 0,23, 0,44
top - 18:08:56 up 25 min,  1 user,  
